Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMPA.MA,2010,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.43887785120025213,0.3891590240864267,0.48873468929960734,36,12,NA,NA
GBRMPA.MA,2010,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.47260447912419234,0.40123313718933246,0.536025788981102,36,9,NA,NA
GBRMPA.MA,2010,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.49629566632441474,0.3926113500179861,0.6153248686377709,36,7,NA,NA
GBRMPA.MA,2010,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.6639023516855439,0.6208029665401166,0.6983346999584934,36,6,NA,NA
GBRMPA.MA,2011,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6411014697679713,0.6047282240938533,0.6856872084709139,36,4,NA,NA
GBRMPA.MA,2011,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5403153519289698,0.4495886417282318,0.6389836437589713,36,4,NA,NA
GBRMPA.MA,2011,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.6372465918587753,0.5273815062969728,0.7347583112398371,36,3,NA,NA
GBRMPA.MA,2011,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8517103331482508,0.8250704234799457,0.872015706062705,36,2,NA,NA
GBRMPA.MA,2011,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5116563203519624,0.4694695605513981,0.554766617579791,32,10,NA,NA
GBRMPA.MA,2011,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.4195545644341595,0.35517790098721913,0.4747446405866835,32,10,NA,NA
GBRMPA.MA,2011,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.7773888050637825,0.7025468182467864,0.8349531837098713,32,2,NA,NA
GBRMPA.MA,2011,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8673827074556733,0.7820164246463807,0.919482995548378,32,0,NA,NA
GBRMPA.MA,2011,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.3785693118834762,0.3504694791954627,0.4090493860797528,42,21,NA,NA
GBRMPA.MA,2011,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.3605301351158242,0.3023133966343519,0.4105671969488247,42,19,NA,NA
GBRMPA.MA,2011,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.7364154398671522,0.674682512727118,0.7930006565758861,42,3,NA,NA
GBRMPA.MA,2011,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8981825278893214,0.8752149702772135,0.9158016740535204,42,1,NA,NA
GBRMPA.MA,2012,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5362683372576904,0.49403817408268585,0.5749474608420992,26,6,NA,NA
GBRMPA.MA,2012,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.46148294687595703,0.36605529458074854,0.5458630315523921,26,6,NA,NA
GBRMPA.MA,2012,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.4901174919536645,0.33311478523517224,0.6259914222251848,26,5,NA,NA
GBRMPA.MA,2012,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7628861440271448,0.7361591799846483,0.7926515389201985,26,3,NA,NA
GBRMPA.MA,2012,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.38452037889751034,0.33571737387992157,0.4344751769452543,42,19,NA,NA
GBRMPA.MA,2012,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.34868670170704835,0.28219143272173614,0.4226403061303136,42,23,NA,NA
GBRMPA.MA,2012,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.5627988871347511,0.5103508183944631,0.6225823913646804,42,8,NA,NA
GBRMPA.MA,2012,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.6764832631534421,0.649057010470049,0.7071102640628912,42,7,NA,NA
GBRMPA.MA,2012,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.42146135559469883,0.39200140156722463,0.4533908842165312,71,30,NA,NA
GBRMPA.MA,2012,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.40235616234421995,0.34222875046753903,0.4596424553874068,71,30,NA,NA
GBRMPA.MA,2012,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.5648167601648122,0.4877622023543202,0.6450018207636167,71,11,NA,NA
GBRMPA.MA,2012,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.7599619003031963,0.7090563101005544,0.7927190662070366,71,9,NA,NA
